SIPRI Transfers Database 


 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 2011 to 2021 - (created: 11-03-2023)

Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
52582;Ukraine;Uganda;S-125-2D Pechora;SAM system;Air defence systems;2008;No;1;Yes;2011;Yes;New;25.0000;25.0000;25;No
40337;United States;Thailand;F404;turbofan;Engines;2008;No;6;Yes;2011;No;New;2.2000;2.2000;13.2;No
54828;China;Namibia;Elephant;OPV;Ships;2010;No;1;No;2012;No;New;45.0000;45.0000;45;No
39224;Netherlands;Venezuela;Variant;air/sea search radar;Sensors;2006;No;1;No;2011;No;New;4.7500;4.7500;4.75;No
33511;United States;Australia;F/A-18E Super Hornet;FGA aircraft;Aircraft;2007;No;9;No;2011;No;New;50.0000;50.0000;450;No
39948;Ukraine;Thailand;BTR-3;IFV;Armoured vehicles;2008;No;62;No;2012;No;New;0.8500;0.8500;52.7;No
51915;United States;Australia;RQ-7 Shadow-200;UAV;Aircraft;2010;No;5;Yes;2011;No;New;0.1000;0.1000;0.5;No
51915;United States;Australia;RQ-7 Shadow-200;UAV;Aircraft;2010;No;5;Yes;2012;Yes;New;0.1000;0.1000;0.5;No
28774;United Kingdom;United States;UFH/M-777 155mm;towed gun;Artillery;2000;Yes;150;Yes;2011;No;New;1.0000;1.0000;150;Yes
52570;United States;Colombia;Bell-206/OH-58;light helicopter;Aircraft;2009;Yes;6;Yes;2011;No;Second hand;0.7000;0.28;1.68;No
39146;United States;Jordan;6V-53;diesel engine;Engines;2005;Yes;100;Yes;2012;Yes;New;0.0400;0.0400;4;No
50183;Russia;Jordan;Igla-S;portable SAM;Missiles;2007;No;550;Yes;2012;Yes;New;0.0800;0.0800;44;No
54297;United States;Jordan;C-130E Hercules;transport aircraft;Aircraft;2010;Yes;1;No;2012;No;Second hand;24.0000;9.6;9.6;No
24919;United States;Spain;RIM-162 ESSM;SAM;Missiles;2008;Yes;50;Yes;2011;Yes;New;0.4000;0.4000;20;Yes
31455;United States;Norway;RIM-162 ESSM;SAM;Missiles;2000;Yes;35;Yes;2012;Yes;New;0.4000;0.4000;14;Yes
