Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cape Verde,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.937695395308799,10.311679557279485,10.675960113458693,10.366942822499748,10.127140246052315,-1.0,-1.0,-1.0,5.123484082672587,4.402858838312714,5.435995792599503,8.516402320085822,5.930941891638909,5.9291206227526905,6.5864914521731395,7.380077744540591,11.891881233756768,8.079938323409648,7.349157158217744,7.746869964818133,8.007976722456183,8.740019475056526,8.109759077663297,8.096052437642095,9.59527560478593,7.8247193727618605,7.883735990566087,8.514147682392432,8.96403735005564,8.61539830467107,8.84789408966122,9.385396833082146,10.884387650346792,9.783909943276702,10.52458034016774,9.963338226727686,11.279268103581954,10.607491678204338
Central African Republic,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.90191979222744,48.75171215128648,44.35705216971712,38.98404072962139,35.79930731569169,33.148234004618246,-1.0,-1.0,-1.0,-1.0,-1.0,36.70142787582698,41.321452370534615,38.56806555794252,38.154264358495666,-1.0,39.964139107214066,56.34059510609583,65.54861350333947,97.09046958074217,88.28492561786288,77.39867281629293,82.72817719786639,52.96094558528274,32.1199315301014,30.94463379708482,30.07166217414321,31.06532469194877,42.47735278028254,44.34809807635497,39.918887627362324
Chad,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.70474564614612,80.23967161632629,74.12659998436101,84.75682966928187,54.939119917061426,107.16055620997582,86.32642273619699,45.175320960675336,-1.0,45.18371024230308,58.577481339739364,45.80007968591759,34.0892971969256,38.88715140455788,28.133537105862164,26.42793766144752,39.01753815837505,44.281450376776434,49.74990979925844,58.87175804405523,59.671212108056324,70.72994580981013,71.8674311110823,264.99537333938,465.6468262967929,619.7944029680311,718.3074516601469,641.2514662519413,592.8485196187795,-1.0,686.3343626226887,364.8547878349384,235.4987304025136,333.4941342259672,237.2857312699493,248.8920732899809,245.67226860071315,322.86652649138955,310.8775280175632
"Congo, DR",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.8777063787075,85.16885174780037,138.68448778255012,118.95456360592506,107.03124647897864,110.8256291070195,149.8203741076854,196.00087613436253,184.21084818177334,146.90701199608847,138.36355717880562,197.49008111233292,140.87005067320706,85.90325306568074,73.4796243110864,64.17723388868147,58.619167244079534,51.60892380475579,28.102049075500062,55.36975183671868,37.706069407096564,46.98200397329918,39.59582377120601,54.76018629234441,24.244558455499746,179.1364337447756,56.2080036490531,39.7481065706356,36.54433047486247,69.73462481535995,214.2392779119196,-1.0,-1.0,89.61421865553895,73.77642126685343,22.206680094831857,80.90840059780987,63.700505533090634,-1.0,-1.0,102.61305971892303,170.02845154350896,199.56737674506888,216.55389651892656,204.4577143307096,147.08255549815152,158.44794505458415,248.41442315180896,284.2438843869998,360.82355558025364,403.14062005551534,364.9775442521948,522.0210494760562,446.1039171861029,352.34426554410067,303.26340311099153,350.53402323854806,362.0916155392712,301.76232824546133
"Congo, Republic",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.65511203703874,59.990583002799916,46.41374309488473,60.46249725910172,76.56800803723814,80.99376020848905,86.09588163343348,-1.0,71.27697406442688,86.09747422136685,87.2800587896652,123.25033358753512,164.23616530714753,-1.0,139.17203075883424,155.650712463261,-1.0,179.77034513883888,-1.0,-1.0,-1.0,-1.0,205.22429162227604,182.35849543312287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,116.08673627485548,137.32466840115936,152.84493138700958,179.77876854808264,141.35965084511452,164.9700026378336,195.60456426896044,215.20093999493852,-1.0,238.7209908497696,-1.0,-1.0,357.9597291039161,681.7262145143721,-1.0,546.9039081389768,399.4805375634343,293.71218100662713,310.9713979432335,298.38219194745164,293.92836948202114
Cote d'Ivoire,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.70454086646518,63.523638048862296,87.60717628218158,98.45532233505965,97.42303609581961,105.72912754510698,105.07305787837927,111.50838770460541,120.2286558807865,162.66262087183887,196.55658198679816,141.53080360585537,186.54712488476716,166.2744762488422,189.12110075752594,149.65266849233902,204.69888150246354,196.3896161356337,196.10936213801983,180.0258802515494,190.09415258969526,184.10734356045444,186.27620616355918,186.41082242618918,181.84165187889846,187.63474786977173,181.44110218402466,194.67702136538813,185.9685408509856,189.7574839544948,185.77840375962825,184.40530542847029,162.20581270113374,-1.0,155.80625803638432,155.69336741524515,-1.0,-1.0,-1.0,-1.0,-1.0,294.1915437128219,310.3410116972424,297.15455235012354,307.6021143102602,334.92982992613645,335.57065114127033,398.83396853459294,381.4255817101542,319.25387532429755,388.9270149027049,387.066433848662,467.4696901600932,603.5980329354327,635.6613726028428,520.2569937192704,594.5924551529744,558.9528765655182,607.1558899681999,603.9486899603244
Djibouti,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.011160223659068,17.394669035861593,95.63704332478142,97.87740359627304,95.622512560489,93.51391883111965,88.09844358289534,84.51686268907987,76.08204279387158,74.89607700849551,72.11524720181531,70.08843076386594,71.50389437417404,64.49849295635224,61.97316575270924,56.964179402113295,45.587297227310366,48.13931225018051,47.370525434368226,47.69366757747383,45.44093872325575,44.69459488943055,56.69535584069602,69.83542038323235,60.571425714591,70.52884186086871,75.24957259485396,49.976535275153424,46.90935621063718,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Equatorial Guinea,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.781137838368411,8.456717717130978,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,254.61392174853185,332.95429596538264,426.0433084560515,-1.0,-1.0,-1.0,-1.0,158.85093959590057,154.0381250787926,154.48104417447686,148.53519519831337,152.67942966939827,158.09386931186728,162.37336438041947,163.19209681115544
Eritrea,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,751.9228257909823,540.6891211798202,848.0140925382495,966.0986892139964,610.0724803243487,1701.475245035509,1803.4002787190593,1500.5885288467568,1110.6541839190024,1061.6717457174313,1036.3985149525024,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ethiopia,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,269.0462519682632,276.0674009369991,233.36022080812427,218.20360678244504,213.6464293360455,194.685499074645,202.05704196747706,225.40845243479527,222.85482544125514,312.42605728808616,490.5645357259982,390.7145319634445,353.2486573982894,407.8054146822948,544.9555850157274,678.2323957426906,652.6385938619019,650.5740208082813,690.5726259480888,659.7497281142171,562.5260535004797,637.8775315868033,709.4480599544917,854.6952823093586,1007.6060345682978,962.5577523638726,477.9268925147615,282.55808135474524,312.4157501389247,288.00874553615495,242.94419086305177,282.73308626280306,519.9241177385868,1111.786964110238,1764.2103723915413,1591.2630816337053,1011.0129006540973,832.1943027946344,684.121154577537,742.58325210951,725.6447394052597,655.3715693557729,600.2799061160929,479.7841718547977,474.7902645699905,480.2261340508444,467.1183013851845,437.33739030252354,438.4111430920121,478.23643301342537,490.2567813996741,538.2701420430869,561.5461747225646,566.3556465794092,536.9260254246317,504.0660882512957,488.4751824475656
